City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
223,Aitape,PG,2021-05-28 17:16:28,-3.1374,142.3475,broken clouds,78.33,86,65,3.83
224,Kiama,AU,2021-05-28 17:16:28,-34.6833,150.8667,overcast clouds,53.38,59,92,5.99
225,Peniche,PT,2021-05-28 17:16:29,39.3558,-9.3811,broken clouds,79.74,74,80,16.98
226,Ayna,PE,2021-05-28 17:16:29,-12.65,-73.9167,scattered clouds,77.5,48,25,5.53
227,Kupang,ID,2021-05-28 17:16:29,-10.1667,123.5833,broken clouds,77.9,78,62,14.25
228,Krasnogorodsk,RU,2021-05-28 17:16:30,56.8357,28.2822,overcast clouds,57.96,75,96,3.6
229,Bantogon,PH,2021-05-28 17:16:30,6.5333,124.0333,few clouds,78.67,83,18,3.13
230,Barcelos,PT,2021-05-28 17:16:30,41.5388,-8.6151,few clouds,80.28,61,17,9.73
231,Longyearbyen,SJ,2021-05-28 17:16:31,78.2186,15.6401,clear sky,33.64,55,0,13.8
232,Pilar,BR,2021-05-28 17:16:31,-9.5972,-35.9567,broken clouds,82.33,58,71,9.33
233,Vao,NC,2021-05-28 17:16:32,-22.6667,167.4833,overcast clouds,70.65,70,100,15.66
234,Key West,US,2021-05-28 17:12:22,24.5557,-81.7826,clear sky,84.0,65,1,9.22
235,Severo-Kurilsk,RU,2021-05-28 17:16:32,50.6789,156.125,broken clouds,38.34,93,83,8.79
236,San Patricio,US,2021-05-28 17:16:33,28.017,-97.5169,broken clouds,89.69,68,81,10.58
237,Palembang,ID,2021-05-28 17:16:33,-2.9167,104.7458,light rain,76.44,95,99,3.02
238,Gamba,GA,2021-05-28 17:16:33,-2.65,10.0,overcast clouds,78.66,84,88,6.24
239,Araouane,ML,2021-05-28 17:16:34,18.9048,-3.5265,scattered clouds,108.97,7,28,21.45
240,Pangkalanbuun,ID,2021-05-28 17:16:34,-2.6833,111.6167,broken clouds,75.04,98,57,1.19
241,Lipin Bor,RU,2021-05-28 17:16:34,60.2622,37.9763,clear sky,52.9,71,5,6.85
242,Chimbote,PE,2021-05-28 17:14:45,-9.0853,-78.5783,broken clouds,71.6,77,77,10.33
243,Husavik,IS,2021-05-28 17:16:35,66.0449,-17.3389,few clouds,60.71,52,18,17.25
244,Dawei,MM,2021-05-28 17:16:35,14.0833,98.2,overcast clouds,77.72,94,100,4.25
245,Nouadhibou,MR,2021-05-28 17:16:35,20.931,-17.0347,broken clouds,69.78,73,74,20.71
246,Craig,US,2021-05-28 17:16:36,40.5153,-107.5464,clear sky,73.18,17,1,6.91
247,Fourmies,FR,2021-05-28 17:16:36,50.0153,4.0478,broken clouds,64.74,73,58,8.34
248,Bozoum,CF,2021-05-28 17:16:31,6.3193,16.3799,broken clouds,79.88,65,51,3.83
249,Samana,DO,2021-05-28 17:16:37,19.2056,-69.3369,broken clouds,84.42,79,75,4.61
250,Khromtau,KZ,2021-05-28 17:16:37,50.2503,58.4347,broken clouds,67.42,37,84,10.94
251,Sulangan,PH,2021-05-28 17:16:37,11.1373,123.7228,overcast clouds,84.65,71,99,4.27
252,Irpa Irpa,BO,2021-05-28 17:16:38,-17.7167,-66.2667,broken clouds,75.11,25,69,5.93
253,Kailua,US,2021-05-28 17:16:38,21.4022,-157.7394,clear sky,76.14,72,1,6.91
254,Bogande,BF,2021-05-28 17:16:39,12.9714,-0.1436,broken clouds,97.95,26,59,8.59
255,Buraydah,SA,2021-05-28 17:16:39,26.326,43.975,broken clouds,99.05,14,69,8.1
256,Montauban,FR,2021-05-28 17:16:39,44.0833,1.5,overcast clouds,79.48,54,96,4.16
257,Harper,LR,2021-05-28 17:16:40,4.375,-7.7169,overcast clouds,83.17,76,98,8.19
